match_id,match,teamInnings,battingPos,batsmanName,out/not_out,runs,balls,4s,6s,SR
T209992,Sunrisers Vs RCB,RCB,4.00,SrikarBharat,out,12.00,10.00,1.00,1.00,120.00
T209992,Sunrisers Vs RCB,RCB,5.00,GlennMaxwell,out,40.00,25.00,3.00,2.00,160.00
T209992,Sunrisers Vs RCB,RCB,6.00,ABdeVilliers,not_out,19.00,13.00,1.00,1.00,146.15
T209992,Sunrisers Vs RCB,RCB,7.00,ShahbazAhmed,out,14.00,9.00,2.00,0.00,155.55
T209992,Sunrisers Vs RCB,RCB,8.00,GeorgeGarton,not_out,2.00,3.00,0.00,0.00,66.66
T205599,Royals Vs Mumbai,Royals,1.00,EvinLewis,out,24.00,19.00,3.00,1.00,126.31
T205599,Royals Vs Mumbai,Royals,2.00,YashasviJaiswal,out,12.00,9.00,3.00,0.00,133.33
T205599,Royals Vs Mumbai,Royals,3.00,SanjuSamson,out,3.00,6.00,0.00,0.00,50.00
T205599,Royals Vs Mumbai,Royals,4.00,ShivamDube,out,3.00,8.00,0.00,0.00,37.50
T205599,Royals Vs Mumbai,Royals,5.00,GlennPhillips,out,4.00,13.00,0.00,0.00,30.76
T205599,Royals Vs Mumbai,Royals,6.00,DavidMiller,out,15.00,23.00,0.00,0.00,65.21
T205599,Royals Vs Mumbai,Royals,7.00,RahulTewatia,out,12.00,20.00,0.00,0.00,60.00
T205599,Royals Vs Mumbai,Royals,8.00,ShreyasGopal,out,0.00,1.00,0.00,0.00,0.00
T205599,Royals Vs Mumbai,Royals,9.00,ChetanSakariya,out,6.00,11.00,1.00,0.00,54.54
T205599,Royals Vs Mumbai,Royals,10.00,KuldipYadav,not_out,0.00,4.00,0.00,0.00,0.00
T205599,Royals Vs Mumbai,Royals,11.00,MustafizurRahman,not_out,8.00,7.00,0.00,1.00,114.28
T205599,Royals Vs Mumbai,Mumbai,1.00,RohitSharma,out,22.00,13.00,1.00,2.00,169.23
T205599,Royals Vs Mumbai,Mumbai,2.00,IshanKishan,not_out,50.00,25.00,5.00,3.00,200.00
T205599,Royals Vs Mumbai,Mumbai,3.00,SuryakumarYadav,out,13.00,8.00,3.00,0.00,162.50
T205599,Royals Vs Mumbai,Mumbai,4.00,HardikPandya,not_out,5.00,6.00,0.00,0.00,83.33
T207682,Super Kings Vs Capitals,Super Kings,1.00,RuturajGaikwad,out,13.00,13.00,2.00,0.00,100.00
T207682,Super Kings Vs Capitals,Super Kings,2.00,FafduPlessis,out,10.00,8.00,2.00,0.00,125.00
T207682,Super Kings Vs Capitals,Super Kings,3.00,RobinUthappa,out,19.00,19.00,1.00,0.00,100.00
T207682,Super Kings Vs Capitals,Super Kings,4.00,MoeenAli,out,5.00,8.00,0.00,0.00,62.50
T207682,Super Kings Vs Capitals,Super Kings,5.00,AmbatiRayudu,not_out,55.00,43.00,5.00,2.00,127.90
T207682,Super Kings Vs Capitals,Super Kings,6.00,MSDhoni,out,18.00,27.00,0.00,0.00,66.66
T207682,Super Kings Vs Capitals,Super Kings,7.00,RavindraJadeja,not_out,1.00,2.00,0.00,0.00,50.00
T207682,Super Kings Vs Capitals,Capitals,1.00,PrithviShaw,out,18.00,12.00,3.00,0.00,150.00
T207682,Super Kings Vs Capitals,Capitals,2.00,ShikharDhawan,out,39.00,35.00,3.00,2.00,111.42
T207682,Super Kings Vs Capitals,Capitals,3.00,ShreyasIyer,out,2.00,7.00,0.00,0.00,28.57
T207682,Super Kings Vs Capitals,Capitals,4.00,RishabhPant,out,15.00,12.00,1.00,1.00,125.00
T207682,Super Kings Vs Capitals,Capitals,5.00,RipalPatel,out,18.00,20.00,2.00,0.00,90.00
T207682,Super Kings Vs Capitals,Capitals,6.00,RavichandranAshwin,out,2.00,3.00,0.00,0.00,66.66
T207682,Super Kings Vs Capitals,Capitals,7.00,ShimronHetmyer,not_out,28.00,18.00,2.00,1.00,155.55
T207682,Super Kings Vs Capitals,Capitals,8.00,AxarPatel,out,5.00,10.00,0.00,0.00,50.00
T207682,Super Kings Vs Capitals,Capitals,9.00,KagisoRabada,not_out,4.00,1.00,1.00,0.00,400.00
T207430,Sunrisers Vs KKR,Sunrisers,1.00,JasonRoy,out,10.00,13.00,2.00,0.00,76.92
T207430,Sunrisers Vs KKR,Sunrisers,2.00,WriddhimanSaha,out,0.00,1.00,0.00,0.00,0.00
T207430,Sunrisers Vs KKR,Sunrisers,3.00,KaneWilliamson,out,26.00,21.00,4.00,0.00,123.80
T207430,Sunrisers Vs KKR,Sunrisers,4.00,PriyamGarg,out,21.00,31.00,0.00,1.00,67.74
T207430,Sunrisers Vs KKR,Sunrisers,5.00,AbhishekSharma,out,6.00,10.00,0.00,0.00,60.00
T207430,Sunrisers Vs KKR,Sunrisers,6.00,AbdulSamad,out,25.00,18.00,0.00,3.00,138.88
T207430,Sunrisers Vs KKR,Sunrisers,7.00,JasonHolder,out,2.00,9.00,0.00,0.00,22.22
T207430,Sunrisers Vs KKR,Sunrisers,8.00,RashidKhan,out,8.00,6.00,1.00,0.00,133.33
