match_id,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
T203817,Super Kings Vs KKR,KKR,ShakibAlHasan,3.00,0.00,33.00,0.00,11.00,6.00,2.00,3.00,0.00,0.00
T203817,Super Kings Vs KKR,KKR,ShivamMavi,4.00,0.00,32.00,1.00,8.00,8.00,1.00,2.00,0.00,0.00
T203817,Super Kings Vs KKR,KKR,LockieFerguson,4.00,0.00,56.00,0.00,14.00,4.00,7.00,2.00,2.00,0.00
T203817,Super Kings Vs KKR,KKR,VarunChakravarthy,4.00,0.00,38.00,0.00,9.50,5.00,2.00,2.00,0.00,1.00
T203817,Super Kings Vs KKR,KKR,SunilNarine,4.00,0.00,26.00,2.00,6.50,6.00,0.00,1.00,1.00,0.00
T203817,Super Kings Vs KKR,KKR,VenkateshIyer,1.00,0.00,5.00,0.00,5.00,2.00,0.00,0.00,0.00,0.00
T203817,Super Kings Vs KKR,Super Kings,DeepakChahar,4.00,0.00,32.00,1.00,8.00,10.00,4.00,1.00,1.00,0.00
T203817,Super Kings Vs KKR,Super Kings,JoshHazlewood,4.00,0.00,29.00,2.00,7.25,10.00,2.00,1.00,2.00,0.00
T203817,Super Kings Vs KKR,Super Kings,ShardulThakur,4.00,0.00,38.00,3.00,9.50,11.00,3.00,1.00,4.00,1.00
T203817,Super Kings Vs KKR,Super Kings,DwayneBravo,4.00,0.00,29.00,1.00,7.25,9.00,1.00,2.00,0.00,0.00
T203817,Super Kings Vs KKR,Super Kings,RavindraJadeja,4.00,0.00,37.00,2.00,9.25,9.00,3.00,2.00,1.00,0.00
T206442,Capitals Vs KKR,KKR,ShakibAlHasan,4.00,0.00,28.00,0.00,7.00,9.00,2.00,1.00,1.00,0.00
T206442,Capitals Vs KKR,KKR,LockieFerguson,4.00,0.00,26.00,1.00,6.50,11.00,1.00,2.00,0.00,0.00
T206442,Capitals Vs KKR,KKR,SunilNarine,4.00,0.00,27.00,0.00,6.75,9.00,0.00,2.00,1.00,0.00
T206442,Capitals Vs KKR,KKR,VarunChakravarthy,4.00,0.00,26.00,2.00,6.50,7.00,2.00,0.00,0.00,1.00
T206442,Capitals Vs KKR,KKR,ShivamMavi,4.00,0.00,27.00,1.00,6.75,9.00,1.00,1.00,1.00,0.00
T206442,Capitals Vs KKR,Capitals,AnrichNortje,4.00,0.00,31.00,2.00,7.75,10.00,2.00,1.00,1.00,0.00
T206442,Capitals Vs KKR,Capitals,RavichandranAshwin,3.50,0.00,27.00,2.00,7.04,7.00,1.00,1.00,1.00,0.00
T206442,Capitals Vs KKR,Capitals,AveshKhan,4.00,0.00,22.00,1.00,5.50,9.00,1.00,0.00,0.00,0.00
T206442,Capitals Vs KKR,Capitals,AxarPatel,4.00,0.00,32.00,0.00,8.00,8.00,0.00,3.00,1.00,0.00
T206442,Capitals Vs KKR,Capitals,KagisoRabada,4.00,0.00,23.00,2.00,5.75,13.00,1.00,1.00,2.00,0.00
T208597,RCB Vs KKR,KKR,ShakibAlHasan,4.00,0.00,24.00,0.00,6.00,6.00,2.00,0.00,0.00,0.00
T208597,RCB Vs KKR,KKR,ShivamMavi,4.00,0.00,36.00,0.00,9.00,8.00,4.00,0.00,2.00,2.00
T208597,RCB Vs KKR,KKR,VarunChakravarthy,4.00,0.00,20.00,0.00,5.00,7.00,0.00,0.00,0.00,0.00
T208597,RCB Vs KKR,KKR,LockieFerguson,4.00,0.00,30.00,2.00,7.50,8.00,4.00,0.00,1.00,0.00
T208597,RCB Vs KKR,KKR,SunilNarine,4.00,0.00,21.00,4.00,5.25,11.00,2.00,0.00,1.00,0.00
T208597,RCB Vs KKR,RCB,MohammedSiraj,4.00,0.00,19.00,2.00,4.75,10.00,1.00,0.00,0.00,0.00
