team1,team2,winner,margin,matchDate,match_id
Royals,Capitals,Royals,57 runs,2023-04-08,T207547
Sunrisers,Super Giants,Super Giants,5 wickets,2023-04-07,T209590
KKR,RCB,KKR,81 runs,2023-04-06,T207668
Punjab Kings,Royals,Punjab Kings,5 runs,2023-04-05,T201031
Capitals,Titans,Titans,6 wickets,2023-04-04,T205026
Super Kings,Super Giants,Super Kings,12 runs,2023-04-03,T202790
Mumbai,RCB,RCB,8 wickets,2023-04-02,T202485
Royals,Sunrisers,Royals,72 runs,2023-04-02,T209117
Super Giants,Capitals,Super Giants,50 runs,2023-04-01,T208512
Punjab Kings,KKR,Punjab Kings,7 runs,2023-04-01,T202853
Super Kings,Titans,Titans,5 wickets,2023-03-31,T201566
